bat,Fam,N,Sum,q,Site,Ref,ref2
Rhinophylla alethina,Araceae,8,31,yes,a,This work,
Rhinophylla alethina,Capparaceae,6,31,yes,a,This work,
Rhinophylla alethina,Cyclanthaceae,4,31,yes,a,This work,
Rhinophylla alethina,Gesneriaceae,5,31,yes,a,This work,
Rhinophylla alethina,Moraceae,1,31,yes,a,This work,
Rhinophylla alethina,Piperaceae,6,31,yes,a,This work,
Rhinophylla alethina,Unknown,1,31,yes,a,This work,
Rhinophylla alethina,Araceae,15.82,NA,yes,y,Rodriguez-Segovia,
Rhinophylla alethina,Capparaceae,45.57,NA,yes,y,Rodriguez-Segovia,
Rhinophylla alethina,Piperaceae,1.69,NA,yes,y,Rodriguez-Segovia,
Rhinophylla alethina,Rubiaceae,36.08,NA,yes,y,Rodriguez-Segovia,
Rhinophylla alethina,Unknown,0.84,NA,yes,y,Rodriguez-Segovia,
Rhinophylla fischerae,Araceae,1,3,yes,b,RAMOS-RODR�GUEZ,
Rhinophylla fischerae,Cyclanthaceae,1,3,yes,b,RAMOS-RODR�GUEZ,
Rhinophylla fischerae,Moraceae,1,3,yes,b,RAMOS-RODR�GUEZ,
Rhinophylla fischerae,Hypericaceae,1,9,yes,c,Ripperger et al,
Rhinophylla fischerae,Marcgraviaceae,1,9,yes,c,Ripperger et al,
Rhinophylla fischerae,Piperaceae,1,9,yes,c,Ripperger et al,
Rhinophylla fischerae,Unknown,6,9,yes,c,Ripperger et al,
Rhinophylla fischerae,Piperaceae,6,8,yes,d,Su�rez-Castro and Montenegro,
Rhinophylla fischerae,Unknown,2,8,yes,d,Su�rez-Castro and Montenegro,
Rhinophylla fischerae,Aquifoliaceae,1,NA,no,t,da Silva et al 2024,
Rhinophylla fischerae,Piperaceae,1,NA,no,t,da Silva et al 2024,
Rhinophylla fischerae,Hypericaceae,1,NA,no,u,Hinojosa et al. 2021,
Rhinophylla fischerae,Urticaceae,1,NA,no,u,Hinojosa et al. 2021,
Rhinophylla pumilio,Piperaceae,1,3,yes,e,Ascorra and Wilson,
Rhinophylla pumilio,Unknown,2,3,yes,e,Ascorra and Wilson,
Rhinophylla pumilio,Hypericaceae,39,53,yes,f,Bobrowiec,
Rhinophylla pumilio,Piperaceae,2,53,yes,f,Bobrowiec,
Rhinophylla pumilio,Unknown,12,53,yes,f,Bobrowiec,
Rhinophylla pumilio,Araceae,15,35,yes,g,Charles-Dominique Cocle,
Rhinophylla pumilio,Cyclanthaceae,18,35,yes,g,Charles-Dominique Cocle,
Rhinophylla pumilio,Schlegeliaceae,2,35,yes,g,Charles-Dominique Cocle,
Rhinophylla pumilio,Araceae,5,38,yes,h,Gorchov et al.,
Rhinophylla pumilio,Clusiaceae,12,38,yes,h,Gorchov et al.,
Rhinophylla pumilio,Hypericaceae,16,38,yes,h,Gorchov et al.,
Rhinophylla pumilio,Marcgraviaceae,1,38,yes,h,Gorchov et al.,
Rhinophylla pumilio,Urticaceae,4,38,yes,h,Gorchov et al.,
Rhinophylla pumilio,Araceae,1,6,yes,I,Lobova,
Rhinophylla pumilio,Marcgraviaceae,5,6,yes,I,Lobova,
Rhinophylla pumilio,Annonaceae,1,8,yes,j,Lobova,
Rhinophylla pumilio,Araceae,1,8,yes,j,Lobova,
Rhinophylla pumilio,Cyclanthaceae,1,8,yes,j,Lobova,
Rhinophylla pumilio,Fabaceae,1,8,yes,j,Lobova,
Rhinophylla pumilio,Hypericaceae,1,8,yes,j,Lobova,
Rhinophylla pumilio,Piperaceae,1,8,yes,j,Lobova,
